timestamp,consumo_kwh,metrica,equipamento_id
2025-06-12 00:30:00,711.0,min,SMV340200
2025-06-12 00:45:00,708.0,min,SMV340200
2025-06-12 01:00:00,712.0,min,SMV340200
2025-06-12 01:15:00,710.0,min,SMV340200
2025-06-12 01:30:00,712.0,min,SMV340200
2025-06-12 01:45:00,706.0,min,SMV340200
2025-06-12 02:00:00,717.0,min,SMV340200
2025-06-12 02:15:00,711.0,min,SMV340200
2025-06-12 02:30:00,706.0,min,SMV340200
2025-06-12 02:45:00,708.0,min,SMV340200
2025-06-12 03:00:00,705.0,min,SMV340200
2025-06-12 03:15:00,699.0,min,SMV340200
2025-06-12 03:30:00,695.0,min,SMV340200
2025-06-12 03:45:00,695.0,min,SMV340200
2025-06-12 04:00:00,697.0,min,SMV340200
2025-06-12 04:15:00,693.0,min,SMV340200
2025-06-12 04:30:00,694.0,min,SMV340200
2025-06-12 04:45:00,688.0,min,SMV340200
2025-06-12 05:00:00,685.0,min,SMV340200
2025-06-12 05:15:00,682.0,min,SMV340200
2025-06-12 05:30:00,683.0,min,SMV340200
2025-06-12 05:45:00,680.0,min,SMV340200
2025-06-12 06:00:00,681.0,min,SMV340200
2025-06-12 06:15:00,681.0,min,SMV340200
2025-06-12 06:30:00,682.0,min,SMV340200
2025-06-12 06:45:00,681.0,min,SMV340200
2025-06-12 07:00:00,680.0,min,SMV340200
2025-06-12 07:15:00,678.0,min,SMV340200
2025-06-12 07:30:00,673.0,min,SMV340200
2025-06-12 07:45:00,682.0,min,SMV340200
2025-06-12 08:00:00,679.0,min,SMV340200
2025-06-12 08:15:00,680.0,min,SMV340200
2025-06-12 08:30:00,680.0,min,SMV340200
2025-06-12 08:45:00,678.0,min,SMV340200
2025-06-12 09:00:00,680.0,min,SMV340200
2025-06-12 09:15:00,684.0,min,SMV340200
2025-06-12 09:30:00,687.0,min,SMV340200
2025-06-12 09:45:00,686.0,min,SMV340200
2025-06-12 10:00:00,685.0,min,SMV340200
2025-06-12 10:15:00,690.0,min,SMV340200
2025-06-12 10:30:00,691.0,min,SMV340200
2025-06-12 10:45:00,691.0,min,SMV340200
2025-06-12 11:00:00,691.0,min,SMV340200
2025-06-12 11:15:00,694.0,min,SMV340200
2025-06-12 11:30:00,698.0,min,SMV340200
2025-06-12 11:45:00,700.0,min,SMV340200
2025-06-12 12:00:00,699.0,min,SMV340200
2025-06-12 12:15:00,706.0,min,SMV340200
2025-06-12 12:30:00,704.0,min,SMV340200
2025-06-12 12:45:00,707.0,min,SMV340200
2025-06-12 13:00:00,706.0,min,SMV340200
2025-06-12 13:15:00,695.0,min,SMV340200
2025-06-12 13:30:00,704.0,min,SMV340200
2025-06-12 13:45:00,704.0,min,SMV340200
2025-06-12 14:00:00,708.0,min,SMV340200
2025-06-12 14:15:00,706.0,min,SMV340200
2025-06-12 14:30:00,712.0,min,SMV340200
