"Date and time","SMV340200 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340201 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340202 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340203 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340204 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340205 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340206 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340207 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340208 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340209 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340210 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340211 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340212 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340213 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340230 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340232 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340233 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340234 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340262 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340263 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-9DQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-BDQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-CDQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-DDQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-FDQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)"
"2025-06-10T16:15:00-03:00","20","30","23","27","23","33","24","32","23","28","23","28","18","26","","24","25","19","24","33","31","22","20","20","26"
"2025-06-10T16:30:00-03:00","21","30","23","27","23","33","24","32","23","28","23","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-10T16:45:00-03:00","21","30","23","27","23","33","24","32","23","28","23","27","18","25","","25","25","18","24","33","31","22","20","20","26"
"2025-06-10T17:00:00-03:00","21","30","23","27","23","33","24","32","23","28","24","28","18","25","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T17:15:00-03:00","21","30","23","27","23","33","24","32","23","28","24","28","18","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T17:30:00-03:00","21","30","23","27","23","33","24","32","23","28","24","28","18","25","","24","25","19","24","33","31","22","20","20","26"
"2025-06-10T17:45:00-03:00","21","30","23","27","23","33","24","32","23","28","24","28","18","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T18:00:00-03:00","21","30","23","27","23","33","24","32","23","28","23","28","19","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T18:15:00-03:00","20","30","23","27","23","33","24","32","23","28","23","28","19","26","","24","25","19","24","33","31","22","20","20","26"
"2025-06-10T18:30:00-03:00","20","30","23","27","24","33","24","32","23","28","23","28","19","25","","24","25","19","24","33","31","22","20","20","26"
"2025-06-10T18:45:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","26","","25","25","19","23","33","31","22","20","20","26"
"2025-06-10T19:00:00-03:00","21","30","23","27","24","33","24","32","23","28","23","28","18","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T19:15:00-03:00","21","30","23","27","24","33","24","32","23","28","24","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-10T19:30:00-03:00","21","30","23","27","24","33","24","32","23","28","24","28","18","25","","25","26","18","24","33","31","22","20","20","26"
