"Date and time","SMV340200 - Daily Power (W, Avg. over last 1 day) (W)","SMV340201 - Daily Power (W, Avg. over last 1 day) (W)","SMV340202 - Daily Power (W, Avg. over last 1 day) (W)","SMV340203 - Daily Power (W, Avg. over last 1 day) (W)","SMV340204 - Daily Power (W, Avg. over last 1 day) (W)","SMV340205 - Daily Power (W, Avg. over last 1 day) (W)","SMV340206 - Daily Power (W, Avg. over last 1 day) (W)","SMV340207 - Daily Power (W, Avg. over last 1 day) (W)","SMV340208 - Daily Power (W, Avg. over last 1 day) (W)","SMV340209 - Daily Power (W, Avg. over last 1 day) (W)","SMV340210 - Daily Power (W, Avg. over last 1 day) (W)","SMV340211 - Daily Power (W, Avg. over last 1 day) (W)","SMV340212 - Daily Power (W, Avg. over last 1 day) (W)","SMV340213 - Daily Power (W, Avg. over last 1 day) (W)","SMV340230 - Daily Power (W, Avg. over last 1 day) (W)","SMV340232 - Daily Power (W, Avg. over last 1 day) (W)","SMV340233 - Daily Power (W, Avg. over last 1 day) (W)","SMV340234 - Daily Power (W, Avg. over last 1 day) (W)","SMV340262 - Daily Power (W, Avg. over last 1 day) (W)","SMV340263 - Daily Power (W, Avg. over last 1 day) (W)","idrac-9DQGPV3 - Daily Power (W, Avg. over last 1 day) (W)","idrac-BDQGPV3 - Daily Power (W, Avg. over last 1 day) (W)","idrac-CDQGPV3 - Daily Power (W, Avg. over last 1 day) (W)","idrac-DDQGPV3 - Daily Power (W, Avg. over last 1 day) (W)","idrac-FDQGPV3 - Daily Power (W, Avg. over last 1 day) (W)"
"2025-06-10T21:00:00-03:00","739.764867","740.337672","737.158285","768.570087","1020.805847","946.636514","907.258707","937.269775","1077.894927","926.653072","1074.044037","1079.196447","847.675145","790.424239","949.946237","869.973245","760.645394","842.622659","965.024681","852.164544","940.302099","966.313661","921.196123","914.525735","902.487576"
"2025-06-11T21:00:00-03:00","738.372828","743.212094","738.278372","760.978004","1014.138678","937.508864","913.47621","946.073595","1079.735213","929.771585","1079.537725","1087.037506","841.938909","790.018971","971.626374","875.544588","759.376103","844.975472","984.552566","905.42439","944.096102","971.367909","920.377089","915.958231","904.156375"
"2025-06-12T21:00:00-03:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-06-13T21:00:00-03:00","730.893962","742.536831","753.158372","765.252964","1049.461805","954.179476","886.792969","917.602013","1115.33979","926.66038","1068.969322","1074.036382","845.809864","827.548607","964.968085","864.830531","775.820767","845.169562","1003.920112","861.947729","906.697904","954.774759","927.468747","891.00122","890.784343"
"2025-06-14T21:00:00-03:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-06-15T21:00:00-03:00","715.780395","","713.611455","748.992624","994.540424","972.380884","889.838198","","1122.112997","","","883.192018","856.074152","785.985783","915.989011","","751.91278","","987.010487","","947.67375","772.33502","918.397342","918.897456",""
